,Car_Name,Brand_Name,Engine Capacity,Category,Body Condition,model Year,Milage,Fuel Type,Transmission,Color,City Registered,Price
12086,Cultus,Suzuki,1000,Hatchback,Good,2018,73000,Petrol,Automatic,Silky Silver,Islamabad,35.0
12087,Cultus,Suzuki,1000,Hatchback,Excellent,2008,43241,Petrol,Manual,Grey,Karachi,9.0
12088,Cultus,Suzuki,1000,Hatchback,Excellent,2014,121000,Petrol,Manual,White,Lahore,15.6
12089,Cultus,Suzuki,1000,Hatchback,Good,2014,99000,Petrol,Manual,Graphite Grey,Karachi,14.5
12090,Cultus,Suzuki,1000,Hatchback,Excellent,2007,12345,Petrol,Manual,Beige,Islamabad,10.0
12091,Cultus,Suzuki,1000,Hatchback,Excellent,2022,45000,Petrol,Manual,White,Islamabad,31.5
12092,Cultus,Suzuki,1000,Hatchback,Fair,2008,99000,Petrol,Manual,White,Lahore,10.35
12093,Cultus,Suzuki,1000,Hatchback,Good,2018,38558,Petrol,Manual,Cerulean Blue,Sindh,25.0
12094,Cultus,Suzuki,1000,Hatchback,Poor,2020,33000,Petrol,Manual,Silver,Sindh,29.9
12095,Cultus,Suzuki,1000,Hatchback,Fair,2015,46593,Petrol,Manual,White,Karachi,15.0
12096,Cultus,Suzuki,1000,Hatchback,Good,2017,35495,Petrol,Manual,Super Pearl Black,Sindh,22.5
12097,Cultus,Suzuki,1000,Hatchback,Poor,2004,96000,Petrol,Manual,White,Islamabad,8.8
12098,Cultus,Suzuki,1000,Hatchback,Fair,2015,123456,Petrol,Manual,Solid White,Karachi,14.0
12099,Cultus,Suzuki,1000,Hatchback,Poor,2004,96000,Petrol,Manual,Solid White,Islamabad,9.0
12100,Cultus,Suzuki,1000,Hatchback,Poor,2011,58000,Petrol,Manual,Solid White,Lahore,13.7
12101,Cultus,Suzuki,1000,Hatchback,Fair,2012,50000,Petrol,Manual,Solid White,Sindh,12.5
12102,Cultus,Suzuki,1000,Hatchback,Very Poor,2008,100000,Petrol,Manual,Solid White,Islamabad,10.8
12103,Cultus,Suzuki,1000,Hatchback,Excellent,2004,9999,Petrol,Manual,Silver,Multan,8.7
12104,Cultus,Suzuki,1000,Hatchback,Poor,2006,168000,Petrol,Manual,Silver,Islamabad,11.5
12105,Cultus,Suzuki,1000,Hatchback,Very Poor,2008,123456,Petrol,Manual,Solid White,Multan,8.9
12106,Cultus,Suzuki,1000,Hatchback,Excellent,2009,23456,Petrol,Manual,Solid White,Lahore,10.6
